,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
119,12.01337236,0.03295588,0.03303467,0.20527244,0.20517831,3.17968750,3.17968750,148.87500000,148.87500000,0.00000347,0.00000343,0.00000425,0.00000420
120,12.11431666,0.03049706,0.03062698,0.20578068,0.20568871,3.18945312,3.18945312,149.37500000,149.37500000,0.00000372,0.00000367,0.00000455,0.00000450
121,12.21526097,0.02845671,0.02863033,0.20625100,0.20616190,3.19921875,3.19921875,150.00000000,150.00000000,0.00000395,0.00000391,0.00000485,0.00000479
122,12.31620527,0.02683845,0.02704807,0.20669094,0.20660527,3.20898438,3.20898438,150.50000000,150.50000000,0.00000418,0.00000414,0.00000513,0.00000508
123,12.41714958,0.02561628,0.02585454,0.20710742,0.20702565,3.21679688,3.21679688,151.00000000,151.00000000,0.00000441,0.00000437,0.00000542,0.00000536
124,12.51809389,0.02474416,0.02500448,0.20750649,0.20742890,3.22656250,3.22656250,151.50000000,151.50000000,0.00000464,0.00000460,0.00000571,0.00000565
125,12.61903819,0.02416666,0.02444349,0.20789313,0.20781997,3.23437500,3.23437500,152.00000000,152.00000000,0.00000488,0.00000483,0.00000600,0.00000595
126,12.71998250,0.02381752,0.02410636,0.20827116,0.20820259,3.24218750,3.24218750,152.37500000,152.37500000,0.00000511,0.00000507,0.00000630,0.00000624
127,12.82092680,0.02363681,0.02393417,0.20864336,0.20857947,3.25000000,3.25000000,152.87500000,152.87500000,0.00000535,0.00000531,0.00000660,0.00000655
128,12.92187111,0.02357087,0.02387404,0.20901163,0.20895247,3.25781250,3.25781250,153.37500000,153.37500000,0.00000561,0.00000557,0.00000692,0.00000687
129,13.02281541,0.02357387,0.02388070,0.20937708,0.20932269,3.26562500,3.26562500,153.87500000,153.87500000,0.00000586,0.00000583,0.00000724,0.00000719
130,13.12375972,0.02360749,0.02391613,0.20974025,0.20969060,3.27343750,3.27343750,154.25000000,154.25000000,0.00000613,0.00000609,0.00000757,0.00000753
131,13.22470402,0.02363960,0.02394823,0.21010113,0.21005620,3.28125000,3.28125000,154.75000000,154.75000000,0.00000641,0.00000637,0.00000792,0.00000788
132,13.32564833,0.02364263,0.02394928,0.21045932,0.21041903,3.28906250,3.28906250,155.25000000,155.25000000,0.00000669,0.00000666,0.00000828,0.00000824
133,13.42659264,0.02359255,0.02389493,0.21081407,0.21077833,3.29687500,3.29687500,155.75000000,155.75000000,0.00000698,0.00000695,0.00000864,0.00000861
134,13.52753694,0.02346855,0.02376399,0.21116433,0.21113299,3.30468750,3.30468750,156.25000000,156.25000000,0.00000728,0.00000725,0.00000902,0.00000899
135,13.62848125,0.02325384,0.02353930,0.21150881,0.21148169,3.31250000,3.31250000,156.75000000,156.75000000,0.00000758,0.00000756,0.00000940,0.00000937
136,13.72942555,0.02293710,0.02320925,0.21184608,0.21182299,3.31835938,3.31835938,157.12500000,157.12500000,0.00000789,0.00000787,0.00000979,0.00000977
137,13.83036986,0.02251471,0.02277014,0.21217474,0.21215537,3.32617188,3.32617188,157.62500000,157.62500000,0.00000819,0.00000818,0.00001018,0.00001016
138,13.93131416,0.02199091,0.02222641,0.21249343,0.21247748,3.33398438,3.33398438,158.12500000,158.12500000,0.00000850,0.00000849,0.00001058,0.00001056
139,14.03225847,0.02137990,0.02159268,0.21280104,0.21278813,3.33984375,3.33984375,158.50000000,158.50000000,0.00000881,0.00000880,0.00001097,0.00001095
140,14.13320277,0.02070480,0.02089285,0.21309680,0.21308658,3.34570312,3.34570312,159.00000000,159.00000000,0.00000911,0.00000910,0.00001135,0.00001134
141,14.23414708,0.01999546,0.02015768,0.21338040,0.21337248,3.35351562,3.35351562,159.37500000,159.37500000,0.00000942,0.00000942,0.00001174,0.00001173
142,14.33509139,0.01928521,0.01942158,0.21365200,0.21364601,3.35937500,3.35937500,159.87500000,159.87500000,0.00000972,0.00000971,0.00001211,0.00001211
143,14.43603569,0.01860699,0.01871853,0.21391222,0.21390779,3.36523438,3.36523438,160.25000000,160.25000000,0.00001001,0.00001001,0.00001249,0.00001248
144,14.53698000,0.01798965,0.01807828,0.21416207,0.21415886,3.37109375,3.37109375,160.62500000,160.62500000,0.00001029,0.00001029,0.00001285,0.00001285
145,14.63792430,0.01745574,0.01752408,0.21440282,0.21440056,3.37500000,3.37500000,161.00000000,161.00000000,0.00001057,0.00001057,0.00001321,0.00001321
