"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
31.12377230,0.44063851,0.43958737,0.34163928,0.34146953,19.17187500,19.17187500,669.00000000,669.00000000,0.02849562,0.02838830,0.04157639,0.04140701
31.21294930,0.43723788,0.43616176,0.34413770,0.34396181,19.62500000,19.62500000,674.50000000,674.50000000,0.03079595,0.03067829,0.04491829,0.04473245
31.30212630,0.43192690,0.43085793,0.34659874,0.34641674,20.09375000,20.09375000,679.50000000,679.50000000,0.03324730,0.03311855,0.04845553,0.04825216
31.39130329,0.42535100,0.42433171,0.34901544,0.34882763,20.54687500,20.54687500,685.00000000,685.00000000,0.03580248,0.03566227,0.05217438,0.05195273
31.48048029,0.41812534,0.41720646,0.35138434,0.35119134,21.01562500,21.01562500,690.00000000,690.00000000,0.03845759,0.03830581,0.05601135,0.05577133
31.56965729,0.41078652,0.41002271,0.35370511,0.35350779,21.48437500,21.48437500,695.00000000,695.00000000,0.04121042,0.04104725,0.05997497,0.05971691
31.65883429,0.40376975,0.40321219,0.35597977,0.35577932,21.95312500,21.95312500,699.50000000,699.50000000,0.04406057,0.04388652,0.06407226,0.06379697
31.74801129,0.39741271,0.39710381,0.35821238,0.35801017,22.42187500,22.42187500,704.50000000,704.50000000,0.04700950,0.04682546,0.06832696,0.06803579
31.83718828,0.39199021,0.39195378,0.36040834,0.36020592,22.89062500,22.89062500,709.00000000,709.00000000,0.05006042,0.04986763,0.07270335,0.07239834
31.92636528,0.38771226,0.38795068,0.36257425,0.36237317,23.37500000,23.37500000,714.00000000,714.00000000,0.05321848,0.05301831,0.07724208,0.07692534
32.01554228,0.38471000,0.38520241,0.36471742,0.36451909,23.84375000,23.84375000,718.50000000,718.50000000,0.05649050,0.05628441,0.08194392,0.08161773
32.10471928,0.38297630,0.38367701,0.36684498,0.36665055,24.34375000,24.34375000,723.00000000,723.00000000,0.05997670,0.05976570,0.08691314,0.08657930
32.19389628,0.38230017,0.38314199,0.36896294,0.36877316,24.82812500,24.82812500,727.50000000,727.50000000,0.06355157,0.06333674,0.09202174,0.09168187
32.28307327,0.38220656,0.38310537,0.37107450,0.37088969,25.34375000,25.34375000,732.00000000,732.00000000,0.06731472,0.06709671,0.09738592,0.09704108
32.37225027,0.38196572,0.38282574,0.37317893,0.37299886,25.84375000,25.84375000,736.50000000,736.50000000,0.07122134,0.07100011,0.10295609,0.10260618
32.46142727,0.38061347,0.38133940,0.37527016,0.37509409,26.37500000,26.37500000,741.00000000,741.00000000,0.07531925,0.07509396,0.10876416,0.10840797
32.55060427,0.37708733,0.37758957,0.37733632,0.37716299,26.89062500,26.89062500,745.50000000,745.50000000,0.07954387,0.07931329,0.11476852,0.11440401
32.63978127,0.37042196,0.37063486,0.37936041,0.37918827,27.42187500,27.42187500,749.50000000,749.50000000,0.08387088,0.08363298,0.12087192,0.12049607
32.72895826,0.35987584,0.35976566,0.38132155,0.38114879,27.93750000,27.93750000,753.50000000,753.50000000,0.08826673,0.08801897,0.12708294,0.12669168
32.81813526,0.34513325,0.34470553,0.38319722,0.38302213,28.43750000,28.43750000,757.50000000,757.50000000,0.09256862,0.09230890,0.13316758,0.13275750
32.90731226,0.32635249,0.32565987,0.38496599,0.38478717,28.92187500,28.92187500,761.50000000,761.50000000,0.09684806,0.09657404,0.13920364,0.13877113
32.99648926,0.30420172,0.30333557,0.38661027,0.38642678,29.37500000,29.37500000,765.00000000,765.00000000,0.10093451,0.10064495,0.14496947,0.14451253
33.08566626,0.27984373,0.27892789,0.38811883,0.38793036,29.79687500,29.79687500,768.00000000,768.00000000,0.10485039,0.10454471,0.15047140,0.14998921
33.17484325,0.25468106,0.25385123,0.38948804,0.38929513,30.18750000,30.18750000,771.00000000,771.00000000,0.10850112,0.10818040,0.15560280,0.15509705
33.26402025,0.23031017,0.22969497,0.39072290,0.39052671,30.54687500,30.54687500,773.50000000,773.50000000,0.11187072,0.11153733,0.16031629,0.15979074
33.35319725,0.20824660,0.20794781,0.39183649,0.39163870,30.87500000,30.87500000,776.00000000,776.00000000,0.11496028,0.11461751,0.16464921,0.16410905
33.44237425,0.18982246,0.18990023,0.39284885,0.39265147,31.17187500,31.17187500,778.50000000,778.50000000,0.11785714,0.11750910,0.16870405,0.16815572
33.53155125,0.17601727,0.17647863,0.39378509,0.39359015,31.45312500,31.45312500,780.50000000,780.50000000,0.12059443,0.12024487,0.17253622,0.17198561
33.62072824,0.16743296,0.16823434,0.39467329,0.39448261,31.73437500,31.73437500,782.00000000,782.00000000,0.12328652,0.12293921,0.17625054,0.17570380
