,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
34,3.48549583,0.20064907,0.20065449,0.11513373,0.11513684,0.04217529,0.04217529,0.19958496,0.19958496,0.14714526,0.14714551,1.05273438,1.05273438,804.23020292,804.23155328,13.68847104,13.68809154,0.00000000,0.00000000,0.00000000,0.00000000
35,3.56038003,0.02742395,0.02742540,0.01540507,0.01540588,0.15734863,0.15734863,0.44116211,0.44116211,0.01977000,0.01977055,1.21972656,1.21972656,112.28066230,112.28377147,31.48975139,31.48960786,0.00000000,0.00000000,0.00000000,0.00000000
36,4.10556147,0.07809497,0.07810732,0.03804350,0.03804952,0.17272949,0.17272949,0.47241211,0.47241211,0.05017599,0.05018265,1.24316406,1.24316406,368.70097818,368.74993489,33.22476643,33.22467719,0.00000000,0.00000000,0.00000000,0.00000000
37,4.48217507,0.24265266,0.24265659,0.10827451,0.10827627,0.21081543,0.21081543,0.53710938,0.53759766,0.14517665,0.14517533,1.30761719,1.30761719,1250.69824978,1250.68682442,38.37428935,38.37484996,0.00000279,0.00000279,0.00000321,0.00000321
38,5.27972251,0.63468618,0.63465852,0.24042407,0.24041359,0.31909180,0.31909180,0.70703125,0.70703125,0.33219429,0.33217139,1.51171875,1.51171875,3853.44178996,3853.17625608,52.18509684,52.18539962,0.00129151,0.00129151,0.00180426,0.00180427
39,7.32153214,1.13825995,1.13826441,0.31093490,0.31093612,0.55957031,0.55957031,1.03906250,1.03906250,0.45499670,0.45498696,2.10742188,2.10742188,9583.45458277,9583.24934289,81.09701673,81.09557442,0.03856125,0.03856125,0.09015646,0.09015554
40,8.41278064,0.34917344,0.34913564,0.08301023,0.08300125,0.87060547,0.87060547,1.40625000,1.40625000,0.12434936,0.12433275,3.32031250,3.32031250,3377.99827487,3377.54709525,127.12269941,127.12097204,0.18289685,0.18289685,0.75417066,0.75416280
41,9.15963024,0.03867124,0.03867047,0.00844384,0.00844367,0.95361328,0.95361328,1.50097656,1.50097656,0.01282816,0.01282758,3.76367188,3.76367188,407.32844516,407.30996878,139.77903627,139.77585138,0.24330785,0.24330785,1.11722513,1.11720494
42,9.16535333,0.30045563,0.30046706,0.06556335,0.06556584,0.96191406,0.96191406,1.51074219,1.51074219,0.09961621,0.09961747,3.81054688,3.81054688,3166.70948658,3166.74971555,141.22856448,141.22534686,0.24924537,0.24924537,1.15788228,1.15786129
43,9.67921546,0.07219745,0.07215444,0.01491804,0.01490915,1.02734375,1.02734375,1.58300781,1.58300781,0.02286945,0.02285524,4.21093750,4.21093750,803.60141540,803.10232651,152.02702691,152.02417016,0.30541976,0.30541976,1.53095236,1.53092899
